Time;SpeedRpm;SpeedKmph;GasSignal;LapNumber;MotorCommError;AssistantSwitch;BmsCommError;BmsRelays;BmsPower;BmsVoltage;DriveCommand;Energy;AuxiliaryBattery
334,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,813
334,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8136
335,35;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8107
335,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8094
336,35;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8142
336,85;0;0;0;0;false;false;false;14;4,02189;51,4802;false;1;12,8178
337,35;0;0;0;0;false;false;false;14;4,02189;51,4802;false;1;12,8138
337,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,814
338,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8148
338,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8127
339,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8092
339,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8163
340,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8149
340,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,815
341,35;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8153
341,9;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8135
342,45;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8102
343;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8166
343,5;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8163
344,05;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
344,6;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,808
345,1;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8093
345,6;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8149
346,1;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8136
346,6;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8119
347,1;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8121
347,6;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8114
348,1;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8095
348,6;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8065
349,1;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8134
349,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8122
350,15;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8109
350,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8094
351,15;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8104
351,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8087
352,15;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8073
352,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8124
353,15;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8125
353,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,812
354,15;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8116
354,65;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8118
355,15;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8098
355,65;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8117
356,15;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8144
356,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8179
357,15;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,814
