Time;Time_Race_s;LapNumber;SpeedKmph;Vehicle_Speed_mps;Distance;Distance_Race_m;BMS_Battery_Voltage_V;Acc_X_G;Acc_Y_G;Acc_Z_G
202,111237;0;0;0,403849996;0,112180555;70,13023129;0;48,889;-0,01171875;-0,0078125;-0,97265625
202,9112298;0;0;0,350549997;0,097374999;70,2115536;0;48,891;-0,00390625;-0,01953125;-0,96484375
203,911252;0;0;0,377199997;0,104777777;70,30945507;0;48,89;-0,01953125;0;-0,97265625
205,01124;0;0;0,02255;0,006263889;70,35915171;0;48,891;-0,01171875;-0,01171875;-0,96875
206,0112259;0;0;0,099424999;0,027618055;70,37931276;0;48,891;-0,01171875;-0,0234375;-0,96484375
207,0112369;0;0;0,03075;0,008541667;70,40911256;0;48,891;-0,0078125;-0,01953125;-0,97265625
208,0112278;0;0;0,01435;0,003986111;70,41301321;0;48,89;-0,0078125;-0,0234375;-0,9609375
209,011235;0;0;0,0369;0,01025;70,42364722;0;48,89;-0,00390625;-0,01171875;-0,98046875
210,0112391;0;0;0,0123;0,003416667;70,42728453;0;48,891;0;-0,01171875;-0,9375
215,1112521;0;0;0,213199998;0,059222222;70,6085686;0;48,89;-0,01953125;-0,0234375;-0,96875
215,811245;0;0;0,095324999;0,026479166;70,64241213;0;48,89;-0,0078125;-0,015625;-0,97265625
216,411227;0;0;0,02255;0,006263889;70,64962631;0;48,89;-0,00390625;-0,03125;-0,9765625
216,8112419;0;0;0,046125;0,0128125;70,65197181;0;48,89;-0,0078125;-0,01953125;-0,9609375
217,211236;0;0;0,094299999;0,026194444;70,65747046;0;48,89;0;-0,015625;-0,96484375
218,111238;0;0;0,0164;0,004555556;70,66971374;0;48,89;-0,01171875;-0,03125;-0,9609375
219,111227;0;0;0,007175;0,001993056;70,67133304;0;48,89;-0,0078125;-0,01953125;-0,96484375
220,1112349;0;0;0,01845;0,005125;70,67629065;0;48,89;-0,0078125;-0,01953125;-0,99609375
225,1112509;0;0;0,0369;0,01025;70,69629895;0;48,889;0;-0,015625;-0,9765625
225,7112379;0;0;0,0205;0,005694444;70,70195054;0;48,889;-0,015625;-0,015625;-0,953125
226,211266;0;0;0,02665;0,007402778;70,70417157;0;48,889;0,01171875;-0,01953125;-0,9609375
226,7112401;0;0;0,011275;0,003131944;70,70599004;0;48,89;-0,015625;-0,03515625;-0,98046875
227,111222;0;0;0,001025;0,000284722;70,70732108;0;48,89;-0,015625;-0,01953125;-0,9765625
228,111238;0;0;0,02665;0,007402778;70,71308988;0;48,889;0;-0,00390625;-0,953125
229,011224;0;0;0,013325;0,003701389;70,72191275;0;48,889;-0,0078125;-0,015625;-0,94921875
230,2112401;0;0;0,180399998;0,050111111;70,74008085;0;48,889;0;-0,015625;-0,97265625
231,111222;0;0;0,202949998;0,056375;70,76583945;0;48,889;-0,00390625;-0,0078125;-0,96875
232,4112511;0;0;0,059449999;0,016513889;70,78837625;0;48,889;0,03515625;-0,0078125;-0,94921875
233,3112209;0;0;0,064574999;0,0179375;70,80380401;0;48,888;-0,015625;-0,015625;-0,96875
234,4112608;0;0;0,197824998;0,054951388;70,82670418;0;48,888;0;0,0078125;-0,95703125
235,3112419;0;0;0,333124997;0,092534721;70,90590755;0;48,888;-0,01171875;0;-1,02734375
236,4112499;0;0;0,175274998;0,0486875;70,97220744;0;48,888;-0,015625;-0,0078125;-0,97265625
237,411253;0;0;0,362849997;0,100791666;71,05762008;0;48,889;0;-0,01171875;-0,96484375
238,411253;0;0;0,04715;0,013097222;71,10141057;0;48,889;-0,00390625;-0,02734375;-0,96484375
239,4112239;0;0;0,029725;0,008256944;71,11147869;0;48,888;0,00390625;-0,015625;-0,9609375
